,review,rating
151198,"""I am 66 and used Androgel in the past for about 4 years, max dose (4 pumps), with T around 450. Then med was dropped from formulary; I switched to Fortesta. Doc started me on max dose (7 pumps; has different concentration) but had to decrease to just 2 pumps to get acceptable T level (7 pumps Fortesta gave T of 3,500!).
The formulary changed again and I&#039;m back on Androgel 1.62% for nearly a year, max dose of 4 pumps, but T now only 175. This new stuff smells and feels different than the Androgel I was on before and is made in Mexico which makes me suspect improper manufacturing or storage.  Am definitely not pleased with this product now, and wonder what I&#039;m actually using.
Will ask Doc about applying to thighs where I used Fortesta.""",1
31358,"""Had to get an abortion just over a month ago. Wanted to use a different birth control because I started getting very sick after years of taking the pill. Depo seemed to be working fine for the first couple weeks. Then all the sudden I notice I am angry at almost everything. The next minute severely depressed. Yelling at my significant other for no reason. I already had mood swings before, and now its horrifying. I&#039;ve gained weight and feel awful about it. I just got my first spotting last week. I&#039;ll bleed a lot. Then a little. Just waiting for it to end. Bad cramps everyday. I knew I shouldn&#039;t have tried this method, but the pill makes me sick to my stomach. Not doing depo again, have to figure out something else... Again!""",1
131383,"""If I could give this cream a negative rating...I WOULD!! About 2 mins after application my itching and burning got WORST! Never again!

I have 2 words for you ladies...PLAIN YOGURT! Make sure it has lactobacillus acidophilus. OMG...WORKS WONDERS and it&#039;s inexpensive. I used a needless syringe ( of course) as he applicator.""",1
147915,"""I was diagnosed with tonsillitis/strep condition. I was given a prescription of 7 pills. Took my first pill with water at 3:39PM and woke up at 5:30PM with my heart racing at over 120bpm and felt every blood vessel in my body pulsating. This lasted for only about 45 seconds to a minute I think. I was more worried about going into cardiac arrest than timing how long this was going on for. After that read forums on long lasting horrible side effects. No other symptoms till the next day. Woke up with sore knees. Did more &quot;internet research on this drug and how it should be banned. My toes and heels are tingling, numb and feel like pins/needles and burning. Called my Dr. for a different prescription. Zithromax, which is fine.""",1
29705,"""This medication is cheap which is why they recommend it so much since it saves the insurance companies a bundle. My BP didn&#039;t move at all. Side effects include left shoulder pain. Loss of hair, eyesight going bad due inflammation of the cornea, weakness, tiredness to the point of delusion. The doctor had be go from 5 to 10 mg and that made everything worse. Three days after stopping it my shoulder pain went away and so much energy returned. my mother was put on it from her doctor and had similar results. After she stopped taking it she no longer needs her walker. I&#039;m 63 and she is 88 going on 29.""",1
159741,"""I got Implanon in October 2011 and I felt the cons outweighed the pros. My symptoms included: Vaginal Bleeding (all the time), HAIR LOSS! As someone else mentioned my hair also broke off in the middle - my mother has also noticed it, depression/very emotional sometimes for no reason, anxiety, no sex-drive, slight acne, felt down in the dumps/sad, no motivation, fatigue, dermatitis of the skin on my hands.I was in a relationship that I am in no longer. The only good thing about the implant is it&#039;s very effective (no pregnancy). I got the Implanon taken out 2.5 months later recently in December 2011 (4 day ago). My dermatitis has gone away and hopefully I&#039;ll feel like myself again. Please those who want to try it be aware of these symptoms. I was 1 of the unlucky ones.""",1
27441,"""All 3 of family members got the Flu real bad 3 days after the Flumist.""",1
129414,"""Scariest thing I have ever taken.  I have taken SSRI&#039;s before and didn&#039;t have a problem... I actually weaned off an old one and wanted to be clean from them.  My significant other said I stress alot and got me into trying others.  I tried citalopram but it made me sick so then I got this.  I have been having random panic attacks to the point of where I feel I will pass out, one of which I went to the ER because it went on for 2 hours. During these attacks I get crazy cold Sweats, dizzy, dry mouth, feeling that I can&#039;t breathe, heavy fever, and feel I&#039;m about to pass out.  I also cannot sleep because I am jittery and fear another attack.  I hope it is the pills so i am currently weaning off of them with drugs to calm me down if i get them.""",1
25795,"""After one week on contrave with no sign of it beginning to work I woke up with hives,.  A few hours later my whole body was covered with hives and extremely itchy.  Over the counter antihistamine did little to help and I continued to break out .I did not take any more contrave after the first sign of hives. The second day I went to ER for help from the growing whole body rash and frenzied itching. I was given Iv steroids and more antihistamine. It has now been 5 days of hives and I do not think i have peaked yet. Each day it is worse and I do not know when it will start to abate. Horrible Horrible experience""",1
57813,"""I absolutely hated it. I had it I since the beginning of July and my period hasn&#039;t stopped since and it is now December. Its really light though and kind of looks like old blood. It&#039;s a good form of birth control alright because who wants to have sex on their period! Horrible""",1
61489,"""I&#039;ve been using linzess 290 for a couple of years off and on because if stops working after a couple of months. I started it again and I&#039;m finishing up my 2nd bottle and nothing. No results whatsoever. I use enemas a couple times a week and all I can get out are hard, round, tiny, rock like poop is all I get. I don&#039;t know what else to do.""",1
40143,"""This did nothing for me, as far as I&#039;m concerned, I think its a placebo.. I was very depressed because I felt awful everyday, I could barely get out of bed, I felt exhausted, foggy mind, body ached, and long list of other debilitating symptoms.. I knew I wasn&#039;t just feeling these things physically for no reason. I&#039;m only 30yrs old and when I started having memory problems I knew that it wasn&#039;t just Depression!! My primary doc did blood work and found I had some severe vitamin deficiencies! I got some prescription vitamins and changed my diet.. I feel better physically and mentally!! This may not help everyone but I encourage you to make sure your doc does a lot of tests tests to rule out others health issues before before blaming depression""",1
78689,"""Horrible I started it about 3 weeks ago now and since my anxiety has been horrible I cannot enjoy my days I&#039;m constantly nauseous severe cramps and I&#039;ve started bleeding again two days ago and my pains are horrible when my bleeding started again I also had pretty bad diahrea my stomach has always been a strong one and it seems to be so far off and upset all the time now I&#039;ve got weird headaches dizziness and lower back pain this pill sucks will stop taking this pill after today when I finally realized what it really was""",1
136893,"""Had to get on it since they discontinued Loestrin 24 Fe because it was supposedly the same. ALL LIES! It decreased my libido which is something that I&#039;ve never experienced before. Loestrin was the best I&#039;d ever had. Minastrin was also expensive. Had to pay 100 dollars a month for one pack! I&#039;m off of it now and have the implan Nexplanon. I&#039;ll see how this goes. If this doesn&#039;t work out then I&#039;ll be finding another pill""",1
75891,"""Once it was introduced into my pump my legs felt as though they were on fire this was corrected with bynedryel. The following effects were an intolerance to light that caused migraines also the lack of bowel control and the loss of hearing in my right ear and visual problems that left me unable to drive.I had to go to my doctor and insist that the prialt be removed. He resisted but I prevailed. I have never been that sick with multiple illnesses in my life.  I have had 3 spinal bone fusions and 2 thumb reconstructions with right and left shoulder operations also a right knee operation and countless spinal injections and on and on. Because of my doctors reluctance to extract the prialt. I called the manufacturer of prialt who stopped it instantly.""",1
81722,"""Before taking Blisovi 24 Fe, I had taken Lo Loestrin Fe for 3 years and loved it! My insurance company stopped covering Lo Loestrin Fe so I switched to Blisovi 24 Fe. So far this pill has done everything I went on the pill to avoid! I have awful cramps, heavy bleeding, sore breasts, acne, mood swings, etc. I have given my body the suggested amount of time to adjust and my symptoms still have not improved. My experience with this birth control was awful and I am just waiting for my appeal to go through so I can get back on Lo Loestrin Fe again.""",1
20174,"""I have been on Lamictal for seven years (300 mg morning and  200 mg in the evening). I had been on Topamax before but my neurologist switched because of side effects.  After the switch, my amount of seizures increased dramatically to about 5 per month and I was having them without any warning.  It was as if I was not on any medication! I have always been controlled with medicines. The neurologist refused to believe it was from the Lamictal and kept saying it was because my body had to adjust to the change in medicine. After about 6 months, a doctor at a different hospital put me on Keppra in addition to the Lamictal.  I have only had one seizure since. """,1
17113,"""This drug is fine if not manufactured by Teva. Teva is not a good company and this drug has no effect under them. Save your money.""",1
54552,"""Norethindrone...OMG! I wanna scream I was giving this birth control to control heavy bleeding and painful cramps due to Endometriosis. This pill has caused acne, prolonged bleeding and cramps. My cycle now last 15 plus days and with the bleeding I have cramps. Now I have low hemoglobin levels and anemia because of the loss of blood. I&#039;m 37 and don&#039;t want kids so now I&#039;m looking to permanent birth control. I wanted to try the IUD but my sister had it for 5 years and when they took it out it broke and she had to have surgery. Now she&#039;s having issues with her cervix and bleeding. Smh what are we to do!""",1
55208,"""I had a copper IUD for approximately 1 month before I had it removed. Symptoms included anxiety, panic attacks and nausea mostly. It&#039;s not for everybody!""",1
13115,"""I have taken this medicine once before and it made me have flu like symptoms, diarrhea, terrible taste in my mouth in general feel awful when I am on this. I agree with person above almost worse than having the pain from diverticulitis.  I am also taking Cipro so no dairy products, antacids tablets.  Basically I try to force my self to eat and drink and sleep through the worst of the systems. This is miserable and depressing.  As soon as I can I plan to try to eat the recommended about of Fiber 25-30 grams.  I never want to have diverticulitis again twice in 5 months is to much.  I have 1 more week of meds, feels like a life time. """,1
30068,"""I can explain this drug easily. It will take away your problems, BUT...your sleep won&#039;t be effective, you will have extreme memory problems, you won&#039;t experience vibrant emotion (it&#039;s always dull), did I mention you will be tired literally all day within minutes of waking? You will basically be a living zombie where every action you take feels forced and fake. You will gain a ton of weight. I was a bodybuilder, 200lb 7.5% bodyfat year round. Counted calories constantly. Still did on effexor, counted them all the way up to 4k a day along with 4-6 beers and no weight lifting. I just didn&#039;t care. I&#039;m 215lbs at 28% bodyfat. If you don&#039;t know what that means, basically I traded a 6-pack for a keg. Went from a size 32 to a size 38. In 8 months""",1
66686,"""I had my Implanon removed today after giving it 18 months. I am very excited to get my old self back. I was experiencing NO sex drive. It was starting to affect my marriage. I cannot, for anything, lose weight. I have developed cystic acne. I have little patience with my toddlers. My family, husband and children deserve better than this. I deserve better than this. I cannot speak for everyone but this is not for ME...even though I haven&#039;t had a period in 8 months. I will gladly take a monthly period over these problems!""",1
146742,"""I am not very happy because it left me red spots and I look like a tomato.""",1
60850,"""I was on several different BCs from ages 15-20 and other than bloating and weight gain, I don&#039;t recall ever having a bad experience. I eventually stopped taking it altogether, however. As of recently (age 26) I began taking Lo Loestrin Fe. I have never experienced something so horrible from BC in my life. I have bled so badly ever since I started it and have experienced the worst and most continual cramps. I have tried to push through it in hopes the pain would at least stop but it has just gotten worse. I haven&#039;t experienced mood swings or weight gain (as of yet) but would take either of those over the type of pain I am experiencing. For the record I am 5&#039;2, petite build, and 115lbs (should body size have any merit on experience)""",1
50446,"""I&#039;m usually pretty tolerant of drugs, but this one was awful! Hot and cold flashes, sweating, abdominal cramps, headaches.The tablet form was much better. The scariest side effect for both forms for me is that my period stopped for 3 months and I&#039;ve never had any variation with that kind of thing. Felt like I was going through menopause even though I&#039;m very young.""",1
59410,"""This medication may be good for Fibromyalgia, however, it did absolutely nothing for chronic pain. I had an astounding increase in appetite, and gained 30 lbs within 4 months. I had severe swelling in the hands, feet, and legs. I have heard the same remarks of other people more often then not.""",1
107049,"""My ob prescribed me this BC I just had gives birth two months ago and it was ok for the first week and a half and then I noticed I was gaining weight craving different foods then I started having headaches that got progressively worse turning into migraines ..then I started bleeding my period wasn&#039;t even suppose to start yet and I&#039;m still bleeding very heavily super tampons barely work I don&#039;t not recommend this BC ..although everyones body is different""",1
137361,"""We moved to a new air base and the horrible doctors here refuse to let me have my Minastrin 24 Fe that I was on for TWO YEARS. Those two years were spent on cloud 9 compared to the 7 months on this garbage. On Minastrin I lost 45 pounds, clear skin like never before, good sex drive, not an emotional hurricane, and never got car sick. In 7 months alone on gildess I gained 25 pounds and counting(even with a healthy lifestyle), suffering depression and anxiety, NO sex drive, periods are HORRID, face has exploded more than going through puberty and I am 21, and taking this makes me sick. It&#039;s a good thing my husband and I don&#039;t want a baby because with the weight gain, break outs and no sex drive-it won&#039;t happen while taking this trash pill.""",1
46315,"""Insurance company kept trying to get me to try the generic. The mail order pharmacy sent the solu tab - did not work at all.""",1
137958,"""12 hours?  What a joke.  Lasts about 12 seconds then your nose runs for days.  Addicting  as hell.  Once you use it one you must keep using it or you plug up bad.""",1
95529,"""I had my first injection of this on March 31 2016,  I&#039;m 50yrs old and have had Migraine, Hypertension attacks 45 yrs and suffered severe Gangrene when I was young. LETTING THEM GIVE ME THIS WAS A  BIG MISTAKE FOR ME AND SEEMS OTHER COMMENTERS TOO. I now don&#039;t feel so bad at my Uncontrollable action after reading the same results to others.  
PLEASE READ OTHER COMMENTS IT SAVES ME THE TIME OF TELLING YOU THE SAME THING. That I lost all control UN-COGNITIVELY after the drug was injected, I ripped out IV left still sick.  3 days later I haven&#039;t eaten &quot;lost appetite&quot; NO urine strength and left with confused depression.""",1
77581,"""He pulled out, but he cummed a bit in me. I took the Plan B 26 hours later, and took a pregnancy test two weeks later - - I&#039;m pregnant.""",1
141863,"""DO NOT USE THIS PRODUCT!  My 15 year old son is light-skinned, blonde and blue eyed and tends to flush(German descent).  This bothered him, so we spoke to his dermatologist and she prescribed Mirvaso.  He was so excited to try it and applied it thinly over his face.  Within 20 minutes his skin was deathly pale with mottling at the edges and around his eyes.  He looked terrible.  Within 10 hours, his face started turning an angry red as if he had been slapped repeatedly.  He then started feeling faint.  I took him to the med clinic and the doctor there prescribed steroids to reduce inflammation and Benadryl.  We are still waiting anxiously for his handsome face to return to normal.  This is after ONE use.""",1
104638,"""I got my implant April of 2016 I have to tell you that even though I don&#039;t have headaches or cramps I have to tell you that my mood swings have been all over the place I don&#039;t like being up and down constantly depressed crying angry paranoid anxious. I know my body well enough that I&#039;m not that way only when I am on my period due to hormones. Not to mention that since I have had the implant when I get my period it is so long it&#039;s annoying - I have it for months on end I am currently on it for a month and week now. Every time I get it the times that it stops are different there was times where it would be for 2 weeks then stop for a week then come back and stop after 2 months then start back up again for 3 months its bad will be taking it out""",1
44129,"""Day two... I have taken 2 gel caps and it has not helped. Itchy roof of mouth. Unable to breathe through my nose, it is completely stopped up. Symptoms are worse than yesterday. Eyes are red, itchy and teary. I a cannot sleep. I do not recommend.""",1
90672,"""Ambfly made me gain 100lbs in 8mos. I got off of it and started to loose 5lbs a night. My bad episodes got worse. I wish. I had the right information about this drug. If had known about the drug beforehand I would never have taken it""",1
78829,"""So I felt this stupid YI coming on but I wasn&#039;t sure if it was that, the pregnancy, or too much sex so I waited a day or two. Finally I couldn&#039;t take it any more so hubby graciously got me the 1 day treatment. I normally get the 3 day but I figured what the hell. I inserted this two days ago and I still have this icky white stuff coming out and it not the YI. The itching is 10 times worse than before I inserted it. I tried taking a shower and more just keeps coming out. My nani is all swollen and itchy and irritated and I&#039;m just done with it all. Everyone is different but my recommendation is to just go to your doc.""",1
39890,"""My doctor prescribed 10 days of this Rx for a sinus infection; yesterday made 4 days and I&#039;m experiencing severe joint pain.  After reading the reviews below I&#039;m shocked/scared and will not be taking anymore pills.  My body feels as though I&#039;ve been in a car accident, I can barely move my neck due to pain, my hands ache like I have arthritis, my elbows, entire back, hips, knees and ankles are in pain and the bottom of my feet are burning as if I&#039;ve been walking in hot sand.  The last four days I&#039;ve had a headache and nausea and today my eyes ache.  This morning I was then experiencing confusion and finally decided to do more research on this drug and discovered this site. I plan to call my doctor tomorrow; this drug is horrible!""",1
115716,"""After 2 years on this pill I&#039;m starting to feel severe  joint and muscle ache, swelling of the arm and legs... the swelling was so severe that it I couldnt walk. The side effects of this drug really outway the benefits.""",1
58534,"""I&#039;ve only been on this medicine for a month and am experiencing more mood swings. My anxiety has worsened along with my fatigue. I am also experiencing hives and skin sensitivity""",1
121924,"""Does not really work for chronic Insomnia""",1
87188,"""It works but side effects with digestion so bad Had to stop it.""",1
92706,"""Same old story as everyone else. I used it for about 7 days and it was great. It does what it says it&#039;ll do, but it makes matters worse when the application is worn off. Even while it was working, I could tell that my face was trying to flush and it was coming out in areas that I have never been red(in between eyebrows, slight rash on forehead, red nose). This medication seems too intense for the skin and I will never use it again. 

Hopefully my rebound flushing will subside because right now it is nearly purple.""",1
112054,"""Absolutely awful.  Reaction to this was so bad I was told I almost 100% had herpes (due to Aldara causing severe blisters).  Made it 3 days with this medicine and started to have severe vaginal swelling to the point where I had to sit in a warm bath to urinate or dump a water bottle on myself while going (TMI). Stabbing pains, nausea, could not sleep, rawness like I never knew was possible, missed a week of work because I could not even move after I had stopped using it.  Took about 2 weeks, 4 doctors appointments, countless tests for various STIs/STDs for my body to fully recover.""",1
11768,"""Horrible side effects. I take 12 different medicines each day and when Savella was added the side effects that occurred were--speech impairment, motor skills were dulled, very dulled, just not myself. Couldn&#039;t recognize people, couldn&#039;t function normally.""",1
57116,"""What a waste of 20dollars. Overpriced medication to catch customer one time because its so ineffective, follow up sales unlikely. This is a scam.""",1
144492,"""I had my first shot December 19 , 7 weeks after having my son and I was still bleeding from that  within 2 days my bleeding had stopped and I was excited. Well that was short lived as the next week I started bleeding/spotting for 2 weeks then stopped for a couple of weeks  only to start again. My doctor gave me a second shot Feb 1 stating it would stop the bleeding  well it hasn&#039;t.  It&#039;s now been 5 weeks of spotting/bleeding. This is horrible.  I also have horrible hot flashes that come from no where.  Do not take this medication""",1
54253,"""I have back pain every day of my life.  My doctor prescribed Ultram.  I took it for a few weeks and the pain never subsided at all.  This drug is as useful as screen windows in a submarine.
And. . .After I stopped taking it I had bad withdrawals!!  Do not take this drug!!!!!""",1
57798,"""I will never buy this product because of their online ad.  It doesn&#039;t have an X to click and it goes on and on preventing me from my online business.  Don&#039;t companies know when they create these annoying ads, people go out of their way to not buy them.""",1
147528,"""This product should be taken off the market.  After having surgery a week ago the anesthesia left me with constipation. I took one pill in the am and around 5pm the severe cramping and nausea  began.   I am still going through it as I type this from the bathroom with cold sweats and wishing I could just die.  If I had know this was the result of taking this  &quot;over the counter &quot; medication I&#039;d have never willingly done so. Shame on me for not checking reviews ahead of time as it looks as if more people than not have suffered the same results. Why on earth would the FDA continue to allow this drug on the market, I have no idea.  I&#039;m not even over my surgery yet, now add this to the mix?  I was looking for relief. This is the exact opposite.""",1
57356,"""Make sure you rub this cream in completely and wash off completely in the morning. I wasn&#039;t told to do so and was then told I had herpes (it was only a reaction to getting this cream all over my vagina).""",1
111936,"""When I tried Malarone around 2007, I became nauseous, stomach hurt, I could not eat at all and could not get out of the hotel. I had to stop the medication because I could not enjoy the vacation. However, in 2015 on another trip, I was given the generic version of Malarone. I felt fine during the whole stay and felt fine after the 7 days after the trip ended. While my friend, on the other hand, tried the brand name Malarone version and started to feel nauseous, swollen during the first day of the trip and had to stop. What do I encourage you to do? Please try the generic version of Malarone - Atovaquone and proguanil hydrochloride.""",1
153552,"""17mo old w/ presumed localization related focal partial complex &amp; secondary generalized tonic clonic seizures replaced Keppra w/ Trileptal. Seizure characteristics changed/worsened, frequency &amp; duration increased from every 4-10wks to weekly &amp; from ~10min to ~15-45min w/ severe respiratory distress leading to numerous ambulance transports &amp; hospitalizations. Though not ill, chronic respiratory distress developed such that O2 supplementation was required at 0.5lpm awake &amp; 1.5-2lpm asleep. After &gt;2mo of regular dosage increases following seizures, she was admitted to prolonged Video EEG following transport. Trileptal was weaned &amp; in 3 days no O2 was needed, nothing was captured in 5 days &amp; she remains Trileptal/seizure/O2 free weeks later.""",1
120687,"""After using for about 1 week, having increased SOB and rash. Reaction to inhaler anaphylactic shock and angioedema, intubated now requiring long term care""",1
56142,"""This drug had no effect on me except for a very strange taste in my mouth. I stopped taking this after 3 weeks. I was on a low dose. Will go to specialist soon to discuss.""",1
121546,"""This was the 2nd time being placed on birth control and it will probably be the last time I EVER take BC again. After only the first week of taking Taytulla I experienced intense, horrible debilitating migraines, neck pain, depression, and EXTERME fatigue. Pain was so bad that I cried for my boyfriend to take me to the hospital, After tests came in clear (CT scan, blood work etc) it hit me that it possibly was my new BC that I was on. The pain was so bad that I missed a whole week of work. When I decided to stop I was one pill away from completing a full two weeks on Taytulla. And just like that from one day to another my migraines and neck pain TOTALLY DISAPPEARED! But then I became a emotional mess weening myself of the bc. What a NIGHTMARE!""",1
107222,"""I had 9 or 10 cycles of Vidaza.  It did nothing for my MDS.""",1
144768,"""When I started this medication everything was absolutely fine for the 1st two days, no side effects and I thought all was good, then on the 3rd day, (4 pills) I woke very early with the worst stomach pain and diarrhoea, I also felt nauseous and dizzy, I went to work as I was well aware of the side effects and tried to soldier on, I made it till about 2pm, another bout of diarrhoea followed by extreme nausea, I called the doctor and now have an appointment to swap antibiotics, still feeling slight signs of the side effects but it&#039;s only been 24 hours so I&#039;m guessing it&#039;s still passing, fingers crossed the new stuff works better""",1
18616,"""Had my Mirena removed after only 3 months.  Yes, it did significantly reduce monthly bleeding and cramping, but the negative side effects far outweighed the little positive effects.  I am fortunate to live a very good life and have never experienced depression; however during the 3 months I had Mirena I felt very sad and depressed for no reason.  I also had zero sex drive all the time - not just certain times of the month.  Gained 10 pounds in 3 months while exercising vigorously on a regular basis and eating very healthy foods 1500 calories a day.  I know my body very well and I know how to lose weight, but nothing worked this time.  Also experienced tingling in my hands and feet.  Looking forward to getting my life back after Mirena!""",1
130130,"""Please be careful. After being on this high estrogen based pill, I am 36 and just diagnosed with breast cancer. The non hormonal IUD would probably be better. Having ten kids would be better.""",1
128528,"""Did not work.  Made heart race.""",1
157730,"""I took Yaz prior to my second pregnancy and absolutely loved it. No side effects so I decided to go ahead and start back on it after I was done breastfeeding my second child.  I have some other health conditions, so it has taken me 6 months to link the side effects to the pill.  I have had horrible headaches that would grow into migraines, which is not good especially with a 3 yr old and 1 yr old.  I am beyond tired, I can sleep 20 hours a day if I didn&#039;t have children.  I am beyond moody and irritable which has had a huge impact on my relationship with my husband, children, family and friends.  I have not had a major decrease in sex drive, but have had a dramatic change in vaginal dryness that would make times unbearable.  """,1
12988,"""I have been taking Neurontin now for 2 years for nerve pain associated with paralysis if my right leg. I now take 300mg 3 times a day and honestly don&#039;t think it does anything at all. I also take 30mg of morphine 3 times a day not to mention a handful of muscle relaxers as needed. If you truly have pain the only thing that works is oxycontin combined with morphine. My advice is to take care of your body and 2 stay off of 4 wheelers that run over 100mph because when you crash you will brake and end up with a crappy life like mine.""",1
158019,"""I tried Buspar for three months and it did not work at all for my anxiety.""",1
46006,"""These pills made me moody, over sensitive, I&#039;ve had depression problems before but this just made them get back for no reason, mostly at nights. It cost me a very dear relationship. My skin got greasy, mostly on my face and scalp, I gained a lot of weight I&#039;m still trying to lose, made me feel nauseas and it messed up my liver.
I have nothing positive to say about it. My new OB/GYN told me to stop them asap and I did in hopes to see the change and get my self back.
Do not take this crap.""",1
158331,"""I took the appropriate dose of Delsym, and 30 minutes later began hallucinating. The following day, I lost all vision and motor control. I took Delsym 3 days ago and am still experiencing side effects.""",1
113422,"""I was prescribed this medicine for my diverticulitis and every time I took this pill I was experiencing bad cramping, so I went to the emergency room and the doctor there told me to stop that medication because it causes constipation. So I&#039;m just taking the other medicine and thus far no cramping just a bit of a headache but that&#039;s better than getting abdominal pains""",1
123300,"""Trazodone worked about 50% of the time for me, with unpleasant side effects. """,1
151849,"""I was talking to my sister about my bad reaction to a medication I took 15 years ago called Compazine. I took this prescribed medicine while at home. I remember my experience like it was yesterday. At first I felt a twitching in my jaws. All at once, my bottom jaw started going to the right, and my top jaw started going to the left. I could not stop it and I could not talk. In fact, my jaw felt like it was trying to break off my face. I remember the emotional and physical pain. Me and my husband were both crying, because we both didn&#039;t understand what was happening! My husband ended up taking me to another clinic, and they admitted me at once. So BEWARE! Just from talking - I found out this same medication hurt my sister just last year.""",1
70977,"""This is simply glorified sleeping medication, this was a waste of money, any one with real seasonal allergies run in the other direction.""",1
154271,"""This drug nearly killed me.  The only pill I took resulted in angioedema.  I was admitted to ICU only after I was stabilized with difficulty in the ER.  My throat had swollen shut.  Since then, anecdotally, I have heard every black person I know that has taken this drug has developed and allergic reaction at some point in the cycle.""",1
112461,"""I&#039;ve had panic disorder with agoraphobia for years now and have been going through medications, trying to find the right medicine and dose.  Zoloft (the generic of Zoloft) was the third medication I&#039;ve tried.  I started at a lower dose and went up to a dose of 100 mg daily.  I had no significant side effects on the lower dose, but experienced bad side effects at the higher dose, such as night sweats, very dry mouth, and issues in thought (such as losing my train of thought fairly frequently).  I weaned off slowly and experienced flu like body aches for a couple of weeks as I came off of it.  I don&#039;t recall any benefit that I got from being on this drug.  Unfortunately, this medicine did not work for me.""",1
104262,"""I was on Metformin when I was first diagnosed with type 2.  It had no effect on my A1C or my daily levels.  I tried it for 2 years.  I ended up with diarrhea all the time.  They tried switching me to metformin ER(SR) and that didn&#039;t help either.  I then was switched glyburide 5mg 2 times a day.  The first dose dropped my blood sugar into the 50&#039;s.  I called the Dr she switched it to 2.5mg twice a day.  my A1C is down to 5.6 my daily levels are back to normal.  Just because a drug is effective for one person it may not be for another.  Don&#039;t be afraid to ask questions.""",1
85696,"""Purchased Recti Care 5% Lidocaine cream, have tried on hemorrhoid pain several times. This stuff does not work. There was absolutely not one smidgen of difference in the pain. Plus this stuff is terrible expensive.  WHAT A WASTE! I will keep it for bug bites, I guess. Hopefully it will work better on them.""",1
117496,"""I&#039;ve had this thing in my arm for a little over a year. First, my periods are so random, and last for weeks at a time. I&#039;ve gained 35 pounds despite my increase in workouts!!! My depression/anxiety is at an all time high, which makes it hard to do just about anything let alone have sex, WHICH IS THE REASON I HAVE THIS DANG THING IN THE FIRST PLACE. I get nauseous very easily and suddenly. I also tend to have headaches that last for days on end. This implant has caused me more problems than having a second child would have! I have an appointment with my Doctor to remove it, and I cannot wait to be done with this thing and feel like myself again. It might be convenient ladies, but it just isnt worth it.""",1
66595,"""On for about 2 weeks, many side effects. Stopped using per Drs. orders.""",1
15166,"""If you have a really  bad infection then don&#039;t use this. I had a YI for about 3 weeks before getting checked out and I guess I&#039;m paying for it now. It literally feels like something is clawing at my vagina walls while simultaneously using a blowtorch.""",1
99034,"""Lilly told me that my undershirt is still a risk to my family after 10 hours. How am I supposed to manage that? Many people do laundry in my house. Shirts are in baskets and the laundry shoot. I can&#039;t get everyone to wash their hands every time they touch something of mine.""",1
161242,"""Not good experience AT ALL. I Have anxiety and depression - usually managable with 20mg paroxetine but exacerbated by stress at work- also diagnosed with C-PTSD. Take diazepam as and when to deal with most severe panic attacks. Psychiatrist assured me I could still take diazepam with this drug. After 1st dose I felt drowsy, spaced out and dizzy with heavy legs. I actually fell down a small flight of stairs in my house and later on in the day slipped on the main staircase. Decided to persevere and take another in the evening. Woke up feeling like a zombie, could hardly stay awake, headache and on edge. Discontinued. That night, woke up TERRIFIED and spent next day (today) either having intense panic attacks or wanting to commit suicide""",1
60111,"""I had nexplanon for eleven months and all it did was make my life hell, I kept hoping it would get better that things would mellow out but all that happened was a constant period, no sex life, my family hated me, my friends hated what had become of the period in front of them and I pushed people away. I developed several pms syndrome and was almost put on Prozac because of this shit I am barely getting back to a normal period two months after removal. I can&#039;t do birth control, this was the last one for me to try. So this was a very disappointing experience.""",1
89836,"""The new round 5/325 U01 hydrocodone pills by Aurolife Pharma is different. I don&#039;t know what they added or subtracted, but I have been on 10mg for 10+yrs and I got these today; I have never been so drugged up in my life. I slept for 6 hrs during the day. I believe this may be their way of combating drug abusers, but they forget not everyone is a abuser. I get my medicine from a pain clinic.Be careful if you take these.""",1
75432,"""I was on the Kireva birth control pill 3 years ago for 2 years straight and experienced no problems. I recently decided to go back on the pill but was suggested Monessa by my doctor. The first week I was on the pill I thought I was experiencing early pregnancy symptoms. Unbearable stomach/pelvic cramping to the point where I couldn&#039;t even sit up straight, headaches, complete loss of energy, crazy mood swings, loss of appetite/being disgusted by foods I normally love, and terrible nausea at all hours of the day, and very painful breast tenderness starting at the beginning of the 2nd week. I can&#039;t wait to get off of this. Ugh! 0/10""",1
44379,"""My doctor took several vaginal samples and tested for yeast, all std&#039;s, and bacteria.  The ONLY thing that was positive was g. Gardnerella, which is bacteria.  She gave me flagyl 500 MG daily x7 days and told me to use metrogel 2x a week for 4-6 months.  Still not better and just finished 5 weeks of the gel, which is 10 doses.  I have zero odor, never had any, but my discharge is like acid.  My skin around the vaginal opening is extremely red and it burns and sometimes I itch.  I&#039;m majorly frustrated.  I have used desitin and vaseline to try and keep the discharge from burning me so bad (docs suggestion) but those tend to make me worse!  I&#039;m truly so depressed I just don&#039;t feel like this is ever going to go away.  No sex  for 5 months now.""",1
106780,"""Was prescribed Spiriva when ill with bronchitis (never prescribed a maintenance inhaler although have emphysema for 2 years-only used rescue inhaler). After 45 days of use experienced moderate to extreme coughing that did not produce mucus, dry mouth, cloudy urine, wheezing as though lungs were filled with cotton, heartburn, flushing, chills, shortness of breath. Still had to use rescue inhaler 3-4 times per day. Stopped use, all symptoms ceased. Will ask pulmonologist for another brand.  Everyone&#039;s tolerance is different.""",1
